store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order,adoption_probability,segment,potential_revenue
47378,NUGGET MARKET #17,37,2,0,98,86,9,29791.59,687,46.33217729,303.9958163,7.010204082,0.87755102,0.091836735,0.44080827,Low Potential,13132.379141238034
47454,SAM'S FOODS SUPERMARKET,37,2,0,11,81,7,11675.04,276,49.05478992,1061.367273,25.09090909,7.363636364,0.636363636,0.435399,Low Potential,5083.300692815781
47833,EL PUEBLO SUPERMERCADO,37,2,0,9,17,6,1512.34,29,58.16692308,168.0377778,3.222222222,1.888888889,0.666666667,0.43318328,Low Potential,655.1204056280851
47718,CALIFORNIA FRESH MKT SLO,37,2,0,157,115,11,31978.89,761,45.29587819,203.6871975,4.847133758,0.732484076,0.070063694,0.4294251,Low Potential,13732.537733982503
18318,HIGHLAND PARK GLASTONBURY,4,3,0,226,151,17,71149.51,1719,42.27540701,314.8208407,7.60619469,0.668141593,0.075221239,0.4248424,Low Potential,30227.327693431078
50026,LOCAL ACRES MARKETPLACE,30,23,0,24,47,7,7143.08,75,125.317193,297.6283333,3.125,1.958333333,0.291666667,0.42446858,Low Potential,3032.0130023407937
11722010,CASINO GROCERY #2-010,20,28,0,26,18,4,6020.06,106,63.36905263,231.5407692,4.076923077,0.692307692,0.153846154,0.41475102,Low Potential,2496.8260438472034
24011,FRESCO Y MAS #0274,7,6,0,51,121,8,18952.236,400,51.78206557,371.6124706,7.843137255,2.37254902,0.156862745,0.41357255,Low Potential,7838.12456730938
12410010,EL AHORRO # 7-010,20,28,0,104,100,6,38663.89,767,53.03688615,371.7681731,7.375,0.961538462,0.057692308,0.40758643,Low Potential,15758.876722681223
39234,BEMUS POINT MARKET,28,20,0,4,3,1,103.43,7,14.77571429,25.8575,1.75,0.75,0.25,0.40750778,Low Potential,42.14852939724923
45123,MI RANCHO SUPERMARKET,37,2,0,51,52,6,10833.16,216,50.8599061,212.414902,4.235294118,1.019607843,0.117647059,0.4073858,Low Potential,4413.275513137579
25503,LOCUST VALLEY MARKET,24,20,0,4,9,5,345.796,13,31.436,86.449,3.25,2.25,1.25,0.40605125,Low Potential,140.41089746129512
48116,NUGGET MARKET #15,37,2,0,90,60,10,14298.49,334,43.06774096,158.8721111,3.711111111,0.666666667,0.111111111,0.40149555,Low Potential,5740.780050991476
25552,DAIRY CITY,24,20,0,18,51,5,3686.0838,97,41.88731591,204.7824333,5.388888889,2.833333333,0.277777778,0.40008187,Low Potential,1474.7353105180264
45600,HOLLISTER SUPER #1,37,2,0,108,67,7,23858.63,430,58.19178049,220.9132407,3.981481481,0.62037037,0.064814815,0.39829987,Low Potential,9502.889295976758
16693010,PASADITA-010,20,28,0,4,12,5,810.1,18,45.00555556,202.525,4.5,3.0,1.25,0.39752963,Low Potential,322.03875476419927
47972,SUMMIT STORE,37,2,0,76,49,9,9347.05,230,42.29434389,122.9875,3.026315789,0.644736842,0.118421053,0.39397436,Low Potential,3682.498077192902
12409010,EL AHORRO # 6-010,20,28,0,89,42,5,16962.66,289,64.7429771,190.5916854,3.247191011,0.471910112,0.056179775,0.39238346,Low Potential,6655.867157657146
